,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_bedroom_ratio
116,flat,czar mahira homes 63a,sector 63,0.42,7407.0,567.0,Carpet area: 567 (52.68 sq.m.),3,2,2,1.0,,Undefined,,,567.0,0,0,0,0,0,1,0,189.0
129,flat,mvn athens,sohna road,0.26,5394.0,482.0,Carpet area: 481.74 (44.76 sq.m.),2,2,1,2.0,,Relatively New,,,481.792164,0,0,0,0,0,1,37,241.0
198,flat,supertech basera,sector 79,0.36,7643.0,471.0,Built Up area: 546 (50.73 sq.m.)Carpet area: 471 sq.ft. (43.76 sq.m.),2,2,1,4.0,,New Property,,546.0,471.0,0,0,0,0,0,1,60,235.5
335,flat,mvn athens,sohna road,0.27,5895.0,458.0,Carpet area: 457.81 (42.53 sq.m.),2,2,1,4.0,South-East,Relatively New,,,457.788667,0,0,0,0,1,0,35,229.0
560,flat,signature global solera,sector 107,0.27,5521.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,0.0,North-East,Relatively New,,,489.0,0,0,0,0,0,1,45,244.5
561,flat,signature global solera,sector 107,0.28,5680.0,493.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,West,Relatively New,,,489.0,0,0,0,0,0,1,45,246.5
704,flat,signature global solera,sector 107,0.5,7752.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6.0,South-East,Relatively New,,,645.0,0,0,0,0,1,1,15,215.0
705,flat,signature global solera,sector 107,0.52,8062.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,5.0,East,Relatively New,,,645.0,0,0,0,0,1,1,15,215.0
706,flat,signature global solera,sector 107,0.28,5726.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,West,Relatively New,,,489.0,0,0,0,0,0,1,45,244.5
707,flat,signature global solera,sector 107,0.29,5930.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,3.0,East,Relatively New,,,489.0,0,0,0,0,0,1,45,244.5
773,flat,prime habitat,sector 99,0.27,6054.0,446.0,Carpet area: 448 (41.62 sq.m.),2,2,1,10.0,South,Relatively New,,,448.0,0,0,0,0,0,1,67,223.0
900,flat,pyramid urban homes 2,sector 86,0.41,8283.0,495.0,Carpet area: 501 (46.54 sq.m.),2,2,1,7.0,West,New Property,,,501.0,1,1,0,1,1,1,49,247.5
1130,flat,signature global solera,sector 107,0.5,7752.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6.0,North-East,Relatively New,,,645.0,0,0,0,0,1,1,49,215.0
1138,flat,signature global solera,sector 107,0.28,5833.0,480.0,Carpet area: 489 (45.43 sq.m.),2,2,2,0.0,North-East,Relatively New,,,489.0,0,0,0,0,0,1,45,240.0
1139,flat,signature global solera,sector 107,0.28,5680.0,493.0,Carpet area: 489 (45.43 sq.m.),2,2,2,11.0,North,Relatively New,,,489.0,0,0,0,0,0,1,29,246.5
1140,flat,signature global solera,sector 107,0.28,5622.0,498.0,Carpet area: 489 (45.43 sq.m.),2,2,2,14.0,North-West,Relatively New,,,489.0,0,0,0,0,0,1,38,249.0
1141,flat,signature global solera,sector 107,0.28,5726.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,10.0,South,Relatively New,,,489.0,0,0,0,0,0,1,38,244.5
1144,flat,signature global solera,sector 107,0.51,7907.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,9.0,South,Relatively New,,,645.0,0,0,0,0,1,1,15,215.0
1146,flat,signature global solera,sector 107,0.28,5833.0,480.0,Carpet area: 489 (45.43 sq.m.),2,2,2,11.0,South,Relatively New,,,489.0,0,0,0,0,0,1,45,240.0
1155,flat,tulip lemon,sector 69,0.62,12863.0,482.0,Carpet area: 482 (44.78 sq.m.),2,2,1,4.0,North-East,Relatively New,,,482.0,0,0,0,0,0,0,108,241.0
1204,flat,conscient habitat,sector 99,0.27,5602.0,482.0,Carpet area: 484 (44.97 sq.m.),2,2,1,8.0,South-West,Relatively New,,,484.0,0,0,0,0,1,1,49,241.0
1242,flat,pivotal devaan,sector 84,0.36,7595.0,474.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,9.0,West,Relatively New,583.0,,481.0,0,0,1,0,0,2,80,237.0
1243,flat,pivotal devaan,sector 84,0.34,7039.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,1,1.0,East,Relatively New,,,483.0,0,0,1,0,0,0,84,241.5
1245,flat,pivotal devaan,sector 84,0.35,7277.0,481.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,10.0,West,Relatively New,583.0,,481.0,0,0,1,0,0,1,103,240.5
1312,flat,rof ananda,sector 95,0.37,5745.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,6.0,South-East,Relatively New,,,644.111776,0,0,0,1,0,0,72,214.66666666666666
1313,flat,rof ananda,sector 95,0.38,5901.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,2.0,South-East,Relatively New,,,644.111776,0,0,0,1,0,0,66,214.66666666666666
1401,flat,pyramid urban homes 2,sector 86,0.42,8485.0,495.0,Carpet area: 501 (46.54 sq.m.),2,2,1,2.0,North-East,New Property,,,501.0,1,1,0,1,1,1,84,247.5
1634,flat,gls avenue 51,sector 92,0.39,6075.0,642.0,Carpet area: 641.74 (59.62 sq.m.),3,3,3+,6.0,North,Relatively New,,,641.743718,0,0,0,0,0,1,104,214.0
1823,flat,signature global solera,sector 107,0.3,6135.0,489.0,Super Built up area 602(55.93 sq.m.)Carpet area: 489 sq.ft. (45.43 sq.m.),2,2,1,5.0,East,Relatively New,602.0,,489.0,0,0,0,0,0,1,57,244.5
1904,flat,gls avenue 51,sector 92,0.5,7812.0,640.0,Super Built up area 640(59.46 sq.m.),3,3,1,0.0,,Relatively New,640.0,,,0,0,0,0,0,1,0,213.33333333333334
1911,flat,gls avenue 51,sector 92,0.42,6562.0,640.0,Carpet area: 640 (59.46 sq.m.),3,3,1,2.0,,Relatively New,,,640.0,0,0,0,0,0,1,20,213.33333333333334
1939,flat,gls avenue 51,sector 92,0.5,7812.0,640.0,Carpet area: 640 (59.46 sq.m.),3,3,1,12.0,,New Property,,,640.0,0,0,0,0,0,2,95,213.33333333333334
1953,flat,signature global the millennia 3,sector 37,0.5,7143.0,700.0,Carpet area: 700 (65.03 sq.m.),3,3,2,2.0,,Undefined,,,700.0,0,0,0,0,0,1,31,233.33333333333334
1963,flat,laxmi pareena,sector 99,0.3,6667.0,450.0,Carpet area: 450 (41.81 sq.m.),2,1,0,12.0,North,Undefined,,,450.0,0,0,0,0,0,1,0,225.0
2069,flat,gls arawali homes,sohna road,0.29,6029.0,481.0,Carpet area: 480.53 (44.64 sq.m.),2,2,2,9.0,East,Relatively New,,,480.500496,0,0,0,0,0,1,55,240.5
2149,flat,pivotal devaan,sector 84,0.35,7246.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,2,4.0,East,Relatively New,,,483.0,0,0,0,0,0,1,37,241.5
2254,flat,rof ananda,sector 95,0.55,8527.0,645.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,14.0,East,New Property,1000.0,,645.0,1,0,0,0,0,0,81,215.0
2273,flat,mvn athens,sohna road,0.25,5198.0,481.0,Built Up area: 481 (44.69 sq.m.),2,2,0,0.0,,Relatively New,,481.0,,0,0,0,0,0,1,37,240.5
2281,flat,gls arawali homes,sohna road,0.32,6723.0,476.0,Built Up area: 476 (44.22 sq.m.),2,1,0,0.0,,Undefined,,476.0,,0,0,0,0,0,1,0,238.0
2292,flat,gls arawali homes,sohna road,0.3,6237.0,481.0,Super Built up area 567(52.68 sq.m.)Carpet area: 480.53 sq.ft. (44.64 sq.m.),2,2,2,4.0,East,Relatively New,567.0,,480.53,0,0,0,0,0,2,120,240.5
2355,flat,breez global heights 88a,sector 88a,0.5,8375.0,597.0,Carpet area: 597 (55.46 sq.m.),3,2,2,2.0,,Undefined,,,597.0,0,0,0,0,0,1,15,199.0
2474,flat,ramsons kshitij,sector 95,0.4,5839.0,685.0,Carpet area: 685 (63.64 sq.m.),3,2,2,6.0,,Undefined,,,685.0,0,0,0,0,0,1,0,228.33333333333334
2509,flat,central park flower valley,sector 33,1.4,21538.0,650.0,Super Built up area 650(60.39 sq.m.),3,3,3,2.0,,Under Construction,650.0,,,0,0,0,0,0,1,54,216.66666666666666
2517,flat,mvn athens,sohna road,0.26,5394.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5.0,,Relatively New,,,481.684525,0,0,0,0,0,1,95,241.0
2631,flat,mvn athens,sohna road,0.27,5895.0,458.0,Carpet area: 457.52 (42.5 sq.m.),2,2,1,0.0,,Relatively New,,,457.46575,0,0,0,0,0,0,69,229.0
2646,flat,gls arawali homes,sohna road,0.28,5983.0,468.0,Carpet area: 468 (43.48 sq.m.),2,2,2,3.0,,Relatively New,,,468.0,0,0,0,0,0,1,42,234.0
2714,flat,mvn athens,sohna road,0.25,5187.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,0.0,North,Relatively New,,,481.684525,0,0,0,1,0,1,90,241.0
2780,flat,zara aavaas,sector 104,0.49,6577.0,745.0,Super Built up area 745(69.21 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,7.0,,Under Construction,745.0,,645.0,0,0,0,0,0,1,74,248.33333333333334
2868,flat,mvn athens,sohna road,0.25,5187.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,3.0,East,Relatively New,,,481.684525,0,0,0,0,0,1,51,241.0
2906,flat,prime habitat,sector 99,0.27,5433.0,497.0,Carpet area: 497 (46.17 sq.m.),2,2,1,4.0,North-East,New Property,,,497.0,0,0,0,0,0,1,7,248.5
2958,house,independent,sector 38,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),7,7,3+,3.0,North-East,Relatively New,,900.0,,1,0,1,1,0,1,27,128.57142857142858
2965,house,independent,sector 25,7.6,38756.0,1961.0,Plot area 215(179.77 sq.m.),9,9,3,4.0,East,Relatively New,,1935.0,,1,0,1,1,0,0,84,217.88888888888889
2992,house,uppal southend,sector 49,3.75,25562.0,1467.0,Plot area 163(136.29 sq.m.),6,6,3,3.0,East,Moderately Old,,1467.0,,0,0,0,0,1,1,49,244.5
3040,house,independent,sector 105,0.65,9028.0,720.0,Plot area 80(66.89 sq.m.),3,2,1,1.0,East,Relatively New,,720.0,,0,0,0,1,1,1,14,240.0
3046,house,independent,sector 4,0.67,9795.0,684.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively New,,76.0,,0,0,0,0,1,1,7,228.0
3062,house,independent,sector 12,1.0,8230.0,1215.0,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),9,7,3+,3.0,North,Moderately Old,,3750.0,,0,0,1,1,0,1,7,135.0
3063,house,independent,sector 7,0.66,12000.0,550.0,Plot area 550(51.1 sq.m.),3,1,1,3.0,East,Relatively New,,550.0,,0,0,0,0,1,1,22,183.33333333333334
3064,house,huda ashok vihar phase,sector 4,0.7,10234.0,684.0,Plot area 684(63.55 sq.m.),3,2,1,2.0,North-East,New Property,,684.0,,1,0,0,0,0,1,7,228.0
3072,house,independent,sector 7,0.9,10000.0,900.0,Plot area 100(83.61 sq.m.),6,4,3,3.0,North-East,Old Property,,900.0,,0,1,0,0,1,0,44,150.0
3074,house,prem kunj,sohna road,0.5,7407.0,675.0,Plot area 675(62.71 sq.m.)Built Up area: 725 sq.ft. (67.35 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),5,4,3,3.0,South-West,Relatively New,,725.0,675.0,0,0,0,1,0,1,22,135.0
3075,house,independent,sector 6,0.5,8333.0,600.0,Plot area 600(55.74 sq.m.),3,3,2,2.0,East,Moderately Old,,600.0,,0,0,0,1,0,1,0,200.0
3076,house,independent,sector 105,0.6,13333.0,450.0,Built Up area: 450 (41.81 sq.m.),3,3,0,3.0,,Undefined,,450.0,,0,0,0,0,0,1,0,150.0
3077,house,independent,sector 3,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),5,3,3,3.0,,Moderately Old,,450.0,,0,0,0,0,0,1,0,90.0
3078,house,independent,sector 105,0.35,7778.0,450.0,Carpet area: 500 (46.45 sq.m.),2,2,1,2.0,East,Undefined,,,500.0,0,0,0,0,0,1,0,225.0
3081,house,independent,sector 1,1.1,6173.0,1782.0,Plot area 1782(165.55 sq.m.),8,8,0,1.0,,New Property,,1782.0,,0,0,0,0,0,1,0,222.75
3083,house,independent,sector 8,0.82,9111.0,900.0,Plot area 100(83.61 sq.m.),4,3,3,2.0,North,Moderately Old,,900.0,,0,0,0,0,0,1,12,225.0
3087,house,housing board colony,sector 28,3.5,25926.0,1350.0,Plot area 150(125.42 sq.m.),6,6,3,3.0,,Relatively New,,1350.0,,0,0,0,0,0,1,0,225.0
3088,house,independent,sector 1,0.8,6667.0,1200.0,Plot area 1200(111.48 sq.m.),8,8,2,1.0,,Relatively New,,1200.0,,0,0,0,0,0,1,0,150.0
3089,house,independent,sector 26,6.0,33333.0,1800.0,Plot area 200(167.23 sq.m.),8,5,3+,3.0,,Old Property,,1800.0,,0,0,0,0,0,0,9,225.0
3090,house,shivpuri,sector 7,2.8,12444.0,2250.0,Plot area 2250(209.03 sq.m.),10,7,3,1.0,,Old Property,,2250.0,,1,1,0,1,1,0,0,225.0
3094,house,independent,sector 7,1.16,11717.0,990.0,Carpet area: 110 (91.97 sq.m.),5,4,2,1.0,North-East,Undefined,,,110.0,0,0,0,0,0,1,0,198.0
3096,house,independent,sector 12,0.9,13333.0,675.0,Built Up area: 675 (62.71 sq.m.),4,4,0,2.0,,Undefined,,675.0,,0,0,0,0,0,1,0,168.75
3097,house,my home,sector 110,0.34,12593.0,270.0,Plot area 270(25.08 sq.m.),2,2,2,3.0,West,Moderately Old,,270.0,,0,0,0,0,0,1,22,135.0
